sep=,
type_sped,block,code,required,in_required,out_required,level,card,spec_required,spec_in,spec_out,desc,register,index,code,type,required,in_required,out_required,conditional_required,conditional_out_required,conditional_in_required,length,xsd_type,decimal,spec_type,spec_required,spec_in,spec_out,values,spec_values,rules,desc
EFD-ICMS-IPI,1,1923,True,,,6,1:N,O,,,Informações Adicionais dos Ajustes da Sub-apuração do ICMS – Identificação dos Documentos Fiscais,1923,5,SUB,char,,,,True,,,003,numeric_code,,N,OC,,,,,,Subsérie do documento fiscal
EFD-ICMS-IPI,1,1923,True,,,6,1:N,O,,,Informações Adicionais dos Ajustes da Sub-apuração do ICMS – Identificação dos Documentos Fiscais,1923,6,NUM_DOC,char,True,,,,,,009,numeric_code,,N,O,,,,,,Número do documento fiscal
EFD-ICMS-IPI,1,1923,True,,,6,1:N,O,,,Informações Adicionais dos Ajustes da Sub-apuração do ICMS – Identificação dos Documentos Fiscais,1923,7,DT_DOC,date,True,,,,,,008*,,,N,O,,,,,,Data da emissão do documento fiscal
EFD-ICMS-IPI,1,1923,True,,,6,1:N,O,,,Informações Adicionais dos Ajustes da Sub-apuração do ICMS – Identificação dos Documentos Fiscais,1923,8,COD_ITEM,char,,,,True,,,060,,,C,OC,,,,,,Código do item (campo 02 do Registro 0200)
EFD-ICMS-IPI,1,1923,True,,,6,1:N,O,,,Informações Adicionais dos Ajustes da Sub-apuração do ICMS – Identificação dos Documentos Fiscais,1923,9,VL_AJ_ITEM,float,True,,,,,,,,02,N,O,,,,,,Valor do ajuste para a operação/item
EFD-ICMS-IPI,1,1923,True,,,6,1:N,O,,,Informações Adicionais dos Ajustes da Sub-apuração do ICMS – Identificação dos Documentos Fiscais,1923,10,CHV_DOCE,char,,,,True,,,044*,numeric_code,,N,OC,,,,,,Chave do Documento Eletrônico
EFD-ICMS-IPI,1,1925,True,,,5,1:N,O,,,Informações Adicionais da Sub- apuração – Valores Declaratórios,1925,2,COD_INF_ADIC,char,True,,,,,,008*,,,C,O,,,,,,"Código da informação adicional conforme tabela a ser definida pelas SEFAZ, conforme tabela definida no item 5.2."
EFD-ICMS-IPI,1,1925,True,,,5,1:N,O,,,Informações Adicionais da Sub- apuração – Valores Declaratórios,1925,3,VL_INF_ADIC,float,True,,,,,,,,02,N,O,,,,,,Valor referente à informação adicional
EFD-ICMS-IPI,1,1925,True,,,5,1:N,O,,,Informações Adicionais da Sub- apuração – Valores Declaratórios,1925,4,DESCR_COMPL_AJ,char,,,,True,,,,,,C,OC,,,,,,Descrição complementar do ajuste
EFD-ICMS-IPI,1,1926,True,,,5,1:N,O,,,Obrigações do ICMS A Recolher – Operações referentes à Sub-apuração,1926,2,COD_OR,char,True,,,,,,003*,,,C,O,,,,,,"Código da obrigação a recolher, conforme a Tabela 5.4"
